,time,nodes,edges
0,34.471,100,33.0
1,51.626,100,33.0
2,48.115,100,33.0
3,43.035,100,33.0
4,46.369,100,33.0
5,70.812,100,33.0
6,48.595,100,33.0
7,388.916,100,33.0
8,326.099,100,33.0
9,12.467,100,33.0
10,12.019,100,33.0
11,14.49,100,33.0
12,26.146,100,33.0
13,11.938,100,33.0
14,36.35,100,33.0
15,21.426,100,33.0
16,20.341,100,33.0
17,28.429,100,33.0
18,19.364,100,33.0
19,12.755,100,33.0
20,12.37,100,33.0
21,17.046,100,33.0
22,23.105,100,33.0
23,19.663,100,33.0
24,20.602,100,33.0
25,19.748,100,33.0
26,19.972,100,33.0
27,20.035,100,33.0
28,12.875,100,33.0
29,17.611,100,33.0
30,10.536,100,33.0
31,18.668,100,33.0
32,16.642,100,33.0
33,18.649,100,33.0
34,22.543,100,33.0
35,11.638,100,33.0
36,21.575,100,33.0
37,19.857,100,33.0
38,20.482,100,33.0
39,12.474,100,33.0
40,19.544,100,33.0
41,18.367,100,33.0
42,18.831,100,33.0
43,20.14,100,33.0
44,16.19,100,33.0
45,25.398,100,33.0
46,20.888,100,33.0
47,15.113,100,33.0
48,13.438,100,33.0
49,18.47,100,33.0
50,14.258,100,33.0
51,13.163,100,33.0
52,14.399,100,33.0
53,14.263,100,33.0
54,14.881,100,33.0
55,23.708,100,33.0
56,19.883,100,33.0
57,19.55,100,33.0
58,23.057,100,33.0
59,17.986,100,33.0
60,26.364,100,33.0
61,25.988,100,33.0
62,22.14,100,33.0
63,26.552,100,33.0
64,20.808,100,33.0
65,17.498,100,33.0
66,19.194,100,33.0
67,19.633,100,33.0
68,13.577,100,33.0
69,14.77,100,33.0
70,17.774,100,33.0
71,19.706,100,33.0
72,13.802,100,33.0
73,19.214,100,33.0
74,15.589,100,33.0
75,19.973,100,33.0
76,15.796,100,33.0
77,14.506,100,33.0
78,13.57,100,33.0
79,12.631,100,33.0
80,18.795,100,33.0
81,21.078,100,33.0
82,14.406,100,33.0
83,20.439,100,33.0
84,18.28,100,33.0
85,11.264,100,33.0
86,16.032,100,33.0
87,14.21,100,33.0
88,18.47,100,33.0
89,15.218,100,33.0
90,8.565,100,33.0
91,15.772,100,33.0
92,21.454,100,33.0
93,17.006,100,33.0
94,20.491,100,33.0
95,18.615,100,33.0
96,12.686,100,33.0
97,14.433,100,33.0
98,8.629,100,33.0
99,9.926,100,33.0
100,15.502,200,66.0
101,30.298,200,66.0
102,49.149,200,66.0
103,16.652,200,66.0
104,19.294,200,66.0
105,31.958,200,66.0
106,15.882,200,66.0
107,15.466,200,66.0
108,30.704,200,66.0
109,22.617,200,66.0
110,29.83,200,66.0
111,32.459,200,66.0
112,12.935,200,66.0
113,15.372,200,66.0
114,31.769,200,66.0
115,22.883,200,66.0
116,33.069,200,66.0
117,22.435,200,66.0
118,28.635,200,66.0
119,25.36,200,66.0
120,19.393,200,66.0
121,22.206,200,66.0
122,10.257,200,66.0
123,29.955,200,66.0
124,25.932,200,66.0
125,13.819,200,66.0
126,12.877,200,66.0
127,33.465,200,66.0
128,11.836,200,66.0
129,25.85,200,66.0
130,27.903,200,66.0
131,22.522,200,66.0
132,26.193,200,66.0
133,14.685,200,66.0
134,22.944,200,66.0
135,20.381,200,66.0
136,25.608,200,66.0
137,21.045,200,66.0
138,39.279,200,66.0
139,9.833,200,66.0
140,32.384,200,66.0
141,29.844,200,66.0
142,21.799,200,66.0
143,28.661,200,66.0
144,16.182,200,66.0
145,31.54,200,66.0
146,11.765,200,66.0
147,19.322,200,66.0
148,26.196,200,66.0
149,17.494,200,66.0
150,28.742,200,66.0
151,13.601,200,66.0
152,20.733,200,66.0
153,17.889,200,66.0
154,23.569,200,66.0
155,17.076,200,66.0
156,32.76,200,66.0
157,17.181,200,66.0
158,21.445,200,66.0
159,7.208,200,66.0
160,24.028,200,66.0
161,33.885,200,66.0
162,8.319,200,66.0
163,27.181,200,66.0
164,24.281,200,66.0
165,24.214,200,66.0
166,22.143,200,66.0
167,8.695,200,66.0
168,19.702,200,66.0
169,15.389,200,66.0
170,25.685,200,66.0
171,23.087,200,66.0
172,29.926,200,66.0
173,25.734,200,66.0
174,17.773,200,66.0
175,29.162,200,66.0
176,30.798,200,66.0
177,13.988,200,66.0
178,37.695,200,66.0
179,15.906,200,66.0
180,21.652,200,66.0
181,32.348,200,66.0
182,25.22,200,66.0
183,31.856,200,66.0
184,32.069,200,66.0
185,25.402,200,66.0
186,26.537,200,66.0
187,30.31,200,66.0
188,15.011,200,66.0
189,24.677,200,66.0
190,30.699,200,66.0
191,26.681,200,66.0
192,20.287,200,66.0
193,16.245,200,66.0
194,18.107,200,66.0
195,28.287,200,66.0
196,22.38,200,66.0
197,13.604,200,66.0
198,17.975,200,66.0
199,12.386,200,66.0
200,29.507,300,100.0
201,19.0,300,100.0
202,21.32,300,100.0
203,19.5,300,100.0
204,34.607,300,100.0
205,44.136,300,100.0
206,14.513,300,100.0
207,22.372,300,100.0
208,72.152,300,100.0
209,35.39,300,100.0
210,63.386,300,100.0
211,52.067,300,100.0
212,29.228,300,100.0
213,35.819,300,100.0
214,39.965,300,100.0
215,42.137,300,100.0
216,39.167,300,100.0
217,29.999,300,100.0
218,45.445,300,100.0
219,11.344,300,100.0
220,11.625,300,100.0
221,40.933,300,100.0
222,24.479,300,100.0
223,57.678,300,100.0
224,41.867,300,100.0
225,41.402,300,100.0
226,23.007,300,100.0
227,26.768,300,100.0
228,22.045,300,100.0
229,20.622,300,100.0
230,38.393,300,100.0
